!03511426-n	heelless	0.0	[0]
00017881-r	just as	0.0	[0, 0]
00018043-r	even	0.0	[0, 0, 0, 0, 0]
00018302-r	rather	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00018302-r	kind of	0.0	[0]
00018577-r	quite	4.142857142857143	[0, 0, 0, 0, 0, 29.0, 0]
00018781-r	quite	0.5	[0, 0, 0, -30.0, 0, 33.0]
00018813-v	awaken	0.0	[0.0, 0.0]
00018813-v	arouse	0.0	[0]
00018813-v	waken	0.0	[0.0]
00018813-v	rouse	0.0	[0.0]
00018918-r	quite	0.0	[0]
00018918-r	quite a	0.0	[0]
00019181-r	quite	0.0	[0]
00019339-r	ever	0.0	[0, 0, 0, 0, 0]
00019339-r	always	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00019609-r	always	0.0	[0]
00019757-r	always	0.0	[0]
00020259-v	sit up	0.0	[0, 0]
00020410-a	unapproachable	-34.0	[-34.0]
00020476-r	always	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00020759-r	never	-8.609756097560975	[0, 0, -34.0, 0, -34.0, -34.0, -34.0, 0, -64.0, 0, 0, -34.0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, -32.0, 0, 0, 0.0, -32.0, -52.0, -29.0, 0, 0, 0, 0, 0, -31.0, 26.0, 0, 0, 0, 0, 0, 31.0, 0]
00020997-r	never	-24.4	[0, 0, -95.0, 0, -27.0]
00021212-r	occasionally	0.0	[0]
00021212-r	now and again	0.0	[0]
00021265-n	food	0.0	[0]
00021878-r	sometimes	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022131-r	as	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022131-r	equally	0.0	[0, 0]
00022686-v	brace	34.0	[34.0]
00022903-n	article	0.0	[0, 0]
00023074-r	that much	0.0	[0, 0]
00023271-n	knowledge	15.95897435897436	[34.0, 34.0, 34.0, 0, 0, 0, 0, 0.0, 24.866666666666664, 14.6, 32.0, 0, 34.0]
00023646-v	faint	-19.5	[-39.0, 0]
00023773-n	motive	0.0	[0.0, 0]
00024073-r	not	-3.623616236162362	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35.0, -27.0, -30.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14.0, -64.0, -64.0, -64.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, -34.0, -31.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, -45.0, -59.0, 0, -31.0, -24.0, 0, 0, 0, 0, 0, -36.0, -29.0, -28.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.0, -35.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100.0, 0, 0, 0, 0, 0, 0, -40.0, -16.0, -9.0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, -30.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00024073-r	n't	-1.7093023255813953	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, -39.5, 0, 0, 0, 0, 0, 0, -34.0]
00024257-r	nothing	-28.333333333333332	[-34.0, -34.0, -34.0, -34.0, -34.0, 0]
00024356-r	no	-32.81818181818182	[-34.0, 0, -34.0, -19.0, -34.0, -34.0, -34.0, -34.0, 0, -69.0, -69.0]
00024417-a	accustomed	0.0	[0]
00024509-r	any	0.0	[0]
00024587-r	no	0.0	[0, 0, 0]
00024682-r	none	0.0	[0, 0]
00024720-n	state	0.0	[0]
00024893-r	either	-9.666666666666666	[0, 0, -29.0]
00024996-a	new	0.0	[0]
00025290-r	anywhere	0.0	[0, 0, 0]
00025464-r	nowhere	0.0	[0]
00025559-r	somewhere	0.0	[0, 0]
00026137-r	in some way	0.0	[0, 0, 0]
00026192-n	feeling	2.0	[0, 0, 16.0, 0, 0, 0, 0, 0]
00026416-r	somehow	0.0	[0]
00026571-r	at any rate	0.0	[0]
00026571-r	in any case	0.0	[0, 0, 0]
00027093-r	as it is	0.0	[0, 0]
00027258-r	anyhow	0.0	[0]
00027258-r	in any way	0.0	[0]
00027384-r	but	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00027384-r	yet	-2.1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0]
00027384-r	however	-0.5714285714285714	[0, 0, 0, 0, 2.0, 0, 0, 0, 0, 0, 0, 0, -10.0, 0]
00027384-r	still	0.0	[0, 0, 0]
00027384-r	even so	0.0	[0]
00027384-r	for all	0.0	[0]
00027795-r	yet	0.0	[0, 0, 0, 0, 0]
00027918-r	as yet	0.0	[0]
00027918-r	yet	56.0	[56.0]
00028319-r	only	0.0	[0]
00028424-r	however	0.0	[0, 0]
00028565-v	smile	59.13333333333334	[64.0, 64.0, 64.0, 64.0, 39.666666666666664]
00028578-r	however	0.0	[0, 0, 0]
00028797-r	however	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00029037-r	besides	0.0	[0]
00029378-n	event	-0.07142857142857142	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, 0]
00029985-r	further	0.0	[0, 0]
00029985-r	farther	0.0	[0]
00030358-n	act	0.0	[0, 0]
00030443-r	further	0.0	[0]
00030463-v	break	0.0	[0]
00031277-v	fall over	0.0	[0]
00031304-r	still	-0.9565217391304348	[0, 0, 0, 0, 0, -22.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00031515-r	no longer	0.0	[0, 0, 0]
00031515-r	no more	0.0	[0]
00031663-v	chuckle	34.0	[34.0, 34.0]
00031798-r	already	-1.2592592592592593	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0]
00031820-v	laugh	29.357142857142858	[64.0, 0, 0, 25.666666666666668, 32.0, 50.333333333333336, 33.5]
00031899-r	very	0.5535714285714286	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.0, 35.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 32.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0]
00031899-r	really	-3.5	[0, 0, 0, 0, 0, -21.0]
00031921-n	relation	0.0	[0]
00031974-a	active	0.0	[0]
00032299-r	mighty	27.0	[0, 54.0]
00032613-n	possession	0.0	[0]
00032803-r	much	0.0	[0, 0]
00033203-v	glare	-40.0	[-48.0, -49.0, -32.0, -31.0]
00033308-r	just	0.0	[0, 0, 0]
00033308-r	just now	0.0	[0]
00033406-v	stare	0.0	[0, 0, 0]
00033421-r	instantly	0.0	[0]
00033599-v	look	0.0	[0]
00033663-r	a little	0.0	[0, 0, 0, 0, 0, 0, 0]
00033663-r	a bit	0.0	[0]
00033663-r	a trifle	0.0	[0]
00033922-r	soon	9.57	[0, 0, 34.0, 0, 31.7, 0.0, 0.0, 0, 30.0, 0]
00033922-r	shortly	0.0	[0, 0]
00033922-r	before long	0.0	[0]
00033955-v	shrug	-34.0	[-34.0, -34.0]
00034115-v	clap	27.0	[27.0]
00034189-r	shortly	0.0	[0, 0, 0]
00034322-a	inert	-30.5	[-30.5]
00034945-r	passionately	-4.0	[-4.0]
00035058-r	often	0.0	[0]
00035058-r	frequently	0.0	[0]
00035385-r	seldom	-6.8	[-34.0, 0, 0, 0, 0]
00035718-r	somewhat	0.0	[0, 0]
00035718-r	fairly	13.75	[0, 0, 0, 55.0]
00035718-r	pretty	0.0	[0, 0, 0]
00036163-a	going	0.0	[0]
00036879-a	dead	0.0	[0.0]
00037226-r	really	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00037396-n	action	0.0	[0, 0, 0, 0]
00037470-r	indeed	0.0	[0, 0]
00037641-r	indeed	4.476190476190476	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55.0, 0, 0, 0, 0, 0, 0, 0, 39.0, 0]
00038013-r	in truth	17.0	[34.0, 0.0, 0.0, 34.0]
00038262-n	course	0.0	[0, 0]
00038262-n	course of action	0.0	[0, 0]
00038625-r	of course	8.475	[34.0, 0, 0, 0, 6.800000000000001, 0, 27.0, 0]
00038625-r	naturally	0.0	[0, 0]
00039058-r	clearly	23.75	[0.0, 0, 0, 95.0]
00039318-r	evidently	0.0	[0.0, 0.0, 0, 0, 0, 0, 0]
00039318-r	obviously	0.0	[0.0, 0, 0]
00039318-r	apparently	0.0	[0]
00039941-r	apparently	0.0	[0]
00040365-r	again	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00040365-r	once more	-3.875	[0, 0, 0, 0, 0, 0, -31.0, 0]
00040365-r	once again	-2.25	[0, -9.0, 0, 0]
00040719-r	unexpectedly	-10.0	[-10.0]
00040882-r	out of the way	0.0	[0]
00041570-r	in the way	0.0	[0, 0]
00042254-r	fortunately	48.83333333333333	[57.666666666666664, 40.0]
00042757-n	going	0.0	[0]
00042757-n	departure	-19.0	[-19.0]
00042769-r	alas	-34.0	[-34.0]
00043003-r	therefore	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00043003-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00043003-r	hence	0.0	[0]
00043003-r	thus	0.0	[0]
00043195-n	find	0.0	[0, 0]
00043195-n	discovery	15.1	[34.0, 11.3, 0.0]
00043794-r	from	0.0	[0, 0, 0, 0]
00045379-r	if not	0.0	[0]
00045897-r	beyond	0.0	[0]
00046167-r	in addition	0.0	[0]
00046299-r	exceedingly	-1.0	[0, 40.0, 0, 0, 0, -46.0]
00046534-v	dress	0.0	[0]
00046639-r	deadly	-79.5	[-95.0, -64.0]
00046863-r	extraordinarily	0.0	[0]
00047392-r	too	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	too	0.0	[0, 0, 0, 0]
00047534-r	also	-0.9375	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	as well	0.0	[0, 0, 0, 0]
00047903-r	at last	5.052631578947368	[0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 31.0, 0, 0, 33.0, 0, 32.0, 0, 0, 0, 0]
00047903-r	finally	-8.5	[-34.0, 0, 0, 0]
00047903-r	in the end	0.0	[0]
00047941-n	accomplished fact	0.0	[0]
00048138-r	eventually	0.0	[0, 0]
00048138-r	finally	-17.0	[-34.0, 0]
00048138-r	Finally	0.0	[0]
00048374-n	arrival	0.0	[0, 0, 0]
00048475-r	now	0.0	[0]
00048739-r	now	0.0	[0, 0, 0]
00048739-r	at once	9.411764705882353	[0, 0, 0, 0, 0, 0, 20.0, 20.0, 0.0, 0.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 0]
00048739-r	immediately	10.0	[0, 0.0, 20.0, 20.0]
00048739-r	instantly	13.75	[0, 0, 0, 20.0, 20.0, 42.5]
00048739-r	right away	0.0	[0.0]
00048739-r	forthwith	20.0	[20.0]
00048828-n	coming	22.0	[22.0]
00048858-a	extra	0.0	[0]
00049102-r	now	0.0	[0, 0, 0, 0, 0, 0, 0]
00049220-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049220-r	come	0.0	[0]
00049220-r	at present	0.0	[0, 0, 0]
00049433-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049758-r	now	0.0	[0, 0, 0, 0, 0, 0, 0]
00049947-r	sharply	-33.0	[-33.0]
00050186-r	steadily	30.0	[30.0]
00050484-n	apparition	0.0	[0]
00050556-r	unhappily	-34.0	[-34.0]
00050652-v	put on	0.0	[0, 0, 0, 0]
00050681-r	no	0.0	[0, 0, 0]
00050681-r	no more	0.0	[0, 0]
00051192-n	return	0.0	[0, 0]
00051370-v	slip off	0.0	[0]
00052012-a	deficient	-64.0	[-64.0]
00052374-v	wear	0.0	[0, 0]
00052762-r	bitterly	-64.0	[-64.0]
00053274-r	swiftly	28.276923076923083	[0, 34.0, 34.0, 34.0, 34.0, 30.0, 33.6, 33.6, 33.6, 33.6, 33.6, 33.6, 0]
00053394-r	openly	0.0	[0]
00054212-r	next	0.0	[0]
00054327-r	for the moment	0.0	[0, 0]
00055315-n	desertion	0.0	[0]
00056340-r	dreadfully	-64.0	[-64.0]
00056340-r	horribly	-80.0	[-95.0, -65.0]
00056729-r	at all	0.0	[0, 0, 0]
00057042-r	by no means	0.0	[0, 0, 0]
00057257-r	thoroughly	28.0	[34.0, 22.0]
00057388-r	good	95.0	[95.0]
00058128-r	straight	0.0	[0]
00058359-r	indirectly	0.0	[0, 0]
00058743-n	escape	0.0	[0.0, 0]
00058743-n	flight	-17.0	[0, -34.0]
00059086-r	much	0.0	[0, 0, 0, 0, 0]
00059171-r	very much	4.0	[0, 0, 0, 6.0, 6.0, 6.0, 6.0, 20.0, 0, 0, 0]
00059171-r	a good deal	36.75	[30.0, 43.5]
00059171-r	a great deal	0.0	[0.0]
00059376-n	slip	-34.0	[-34.0]
00059413-r	often	0.0	[0]
00059547-r	often	0.0	[0, 0]
00059607-r	better	49.0	[34.0, 64.0]
00059989-n	break	0.0	[0]
00060939-r	before	2.48	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62.0, 0]
00061203-r	afterwards	0.0	[0, 0, 0, 0, 0, 0, 0]
00061203-r	after	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00061203-r	later	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00061528-r	suddenly	-11.333333333333334	[0, -34.0, 0]
00061677-r	suddenly	-11.9375	[0, 0, 0, -34.0, -34.0, -34.0, -34.0, 0, 0, 0, -24.0, 0, 0, 0, -31.0, 0]
00061677-r	Suddenly	0.0	[0]
00061885-a	cunning	28.0	[28.0]
00061885-a	ingenious	49.0	[49.0]
00062451-n	fulfilment	63.0	[63.0]
00063172-r	instead	0.0	[0]
00063652-n	success	68.33333333333333	[68.33333333333333]
00064643-v	hurt	-64.0	[-64.0, -64.0]
00064691-r	duly	0.0	[0]
00064946-r	meanwhile	0.0	[0, 0, 0, 0]
00065294-r	twice	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00065639-v	have	0.0	[0, 0]
00065822-r	finally	0.0	[0]
00065822-r	Finally	0.0	[0]
00066191-v	weep	-62.0	[-62.0]
00066781-r	before	0.0	[0, 0, 0, 0, 0]
00066781-r	in front	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00066933-a	safe	0.0	[0]
00067038-a	advisable	0.0	[0]
00067045-r	ahead	0.0	[0.0]
00067265-r	forward	12.0	[0, 24.0]
00067265-r	onwards	0.0	[0]
00067379-a	best	44.66666666666667	[26.0, 63.333333333333336]
00067638-a	well	6.8	[0, 34.0, 0.0, 0, 0]
00068368-r	along	0.0	[0, 0, 0, 0, 0]
00068368-r	on	0.0	[0]
00068577-r	along	0.0	[0]
00069164-r	along	0.0	[0, 0, 0]
00069346-r	on	0.0	[0]
00069879-v	wound	-64.0	[-64.0, -64.0]
00069879-v	injure	-95.0	[-95.0]
00069901-r	loudly	0.0	[0]
00069901-r	loud	0.0	[0.0, 0.0]
00070166-r	quietly	0.0	[0]
00070166-r	softly	24.5	[24.5]
00070965-n	mistake	58.0	[58.0]
00071165-r	around	0.0	[0]
00071165-r	about	0.0	[0]
00071242-a	struck	0.0	[0]
00071456-r	round	0.0	[0]
00071601-r	round	0.0	[0]
00071741-r	round	0.0	[0, 0]
00071840-r	about	0.0	[0, 0]
00071840-r	round	0.0	[0, 0, 0, 0, 0, 0, 0]
00072649-r	here and there	0.0	[0]
00072808-n	miscalculation	-42.0	[-42.0]
00072849-r	urgently	-34.0	[-34.0]
00073033-r	almost	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00073033-r	about	0.0	[0, 0, 0, 0]
00073033-r	nearly	8.666666666666666	[0, 0, 26.0]
00074095-r	ago	0.0	[0, 0, 0]
00074407-r	backward	0.0	[0]
00074407-r	back	0.0	[0]
00074641-r	forward	-0.3333333333333333	[0, 0, -1.0]
00075161-r	back	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00075367-r	back	0.0	[0]
00075656-r	aback	0.0	[0]
00076193-r	to and fro	0.0	[0]
00076193-r	backward and forward	0.0	[0]
00076512-r	up and down	0.0	[0, 0, 0]
00077168-r	brightly	47.5	[67.0, 28.0]
00077419-n	acquirement	34.0	[34.0]
00077698-v	choke	-64.0	[-64.0]
00078760-v	care for	17.0	[34.0, 0]
00078851-a	alarmed	-56.0	[-56.0]
00079107-r	undoubtedly	0.0	[0.0, 0.0, 0]
00079499-r	to-night	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00079499-r	tonight	0.0	[0]
00079499-r	this night	0.0	[0]
00079629-a	frightened	-62.5	[-62.5]
00079786-a	horror-stricken	-95.0	[-95.0]
00079786-a	horror-struck	-43.0	[-43.0]
00080039-r	beneath	0.0	[0, 0, 0]
00080039-r	below	0.0	[0]
00080169-r	above	0.0	[0]
00080357-a	terrified	-95.0	[-95.0, -95.0]
00081591-r	every week	0.0	[0]
00082081-v	help	22.0	[22.0]
00082308-r	yonder	0.0	[0, 0, 0, 0, 0]
00082754-n	succession	0.0	[0, 0]
00084223-r	especially	0.0	[0, 0, 0]
00084223-r	particularly	0.0	[0, 0]
00085811-r	rapidly	24.796875	[0, 34.0, 0, 34.0, 34.0, 31.35, 31.35, 33.675]
00085811-r	speedily	34.0	[34.0]
00086000-r	fast	0.0	[0]
00086210-a	feverish	27.0	[27.0]
00087916-r	permanently	-32.0	[-32.0]
00088931-r	continually	0.0	[0, 0, 0]
00089355-a	disagreeable	-64.0	[-64.0]
00089408-r	highly	34.0	[34.0]
00089408-r	extremely	0.0	[0]
00090186-v	shock	-64.0	[-64.0]
00090897-r	intently	28.0	[4.0, 28.0, 40.0, 40.0]
00091647-v	cripple	-64.0	[-64.0]
00091764-a	open-eyed	34.0	[34.0]
00091964-r	firmly	34.0	[34.0]
00092569-r	tightly	-34.0	[-34.0]
00092690-v	recover	29.75	[34.0, 25.5]
00092985-r	once and for all	0.0	[0]
00092985-r	conclusively	0.0	[0]
00093483-n	rescue	95.0	[95.0]
00094396-r	below	0.0	[0]
00094448-a	alive	41.75	[83.5, 0]
00094545-r	upstairs	0.0	[0]
00095280-a	dead	-71.83333333333333	[-95.0, -34.0, -64.0, -64.0, -95.0, -95.0, -95.0, -97.0, -46.0, -32.0, -95.0, -28.0, -95.0, -45.5, -97.0]
00095320-r	down	0.0	[0, 0, 0, 0, 0, 0, 0]
00095320-r	downwards	0.0	[0, 0]
00095612-r	down	0.0	[0, 0, 0, 0]
00095873-a	deceased	-34.0	[-34.0]
00096333-r	up	0.0	[0, 0, 0, 0]
00096333-r	upward	0.0	[0]
00096921-r	up	0.0	[0, 0]
00097022-a	deathly	-70.0	[-70.0]
00097674-a	late	0.0	[0, 0, 0]
00098605-r	homewards	33.0	[33.0]
00098714-r	rather	0.0	[0, 0, 0, 0, 0, 0]
00098714-r	instead	0.0	[0, 0, 0, 0]
00098959-r	so far	0.0	[0, 0, 0, 0, 0]
00099341-r	more	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00099712-r	more	0.0	[0, 0, 0, 0, 0, 0, 0]
00099868-r	least	0.0	[0]
00100002-r	little	-1.0	[-2.0, 0]
